iter	Logloss
0	0.6493491253
1	0.6133039111
2	0.5753182512
3	0.5470904446
4	0.52107141
5	0.4968077034
6	0.4709864407
7	0.4458575195
8	0.4303806739
9	0.4143142296
10	0.402835861
11	0.3901019365
12	0.3747885621
13	0.3614470747
14	0.3514150309
15	0.3401832706
16	0.3300161469
17	0.3204302083
18	0.3130209346
19	0.3047528439
20	0.2964563227
21	0.2885894686
22	0.2829921281
23	0.275510731
24	0.2689208566
25	0.2618994627
26	0.2572802824
27	0.2507943498
28	0.2459589898
29	0.2412799028
30	0.2354019698
31	0.2299757569
32	0.2258682917
33	0.221758725
34	0.2185579535
35	0.2134308185
36	0.2090330081
37	0.205106088
38	0.2015008103
39	0.1972278747
40	0.1936485982
41	0.1911513984
42	0.188419995
43	0.1848400613
44	0.1824954336
45	0.179459884
46	0.176201075
47	0.1738233795
48	0.1719221747
49	0.1694293115
